"Year","State","Variable","Sex","Occupation","Estimate"
"2010","Idaho","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",1231
"2010","Idaho","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",3781
"2010","Idaho","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",1119
"2010","Idaho","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",2226
"2010","Idaho","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",209
"2010","Idaho","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",10119
"2010","Idaho","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",619
"2010","Idaho","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",7403
"2010","Idaho","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",2097
"2010","Idaho","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",5233
"2010","Idaho","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",3357
"2010","Idaho","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",399
"2010","Idaho","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",1477
"2010","Illinois","B24020_019","Male","Computer, engineering, and science occupations:",184062
"2010","Illinois","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",92910
"2010","Illinois","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",88147
